timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727273249006,973,https://blazedemo.com/,200,OK,Thread Group 1-1,text,true,,4757,836,11,11,https://blazedemo.com/,929,0,602
1727273247952,973,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,4757,836,11,11,null,929,1056,602
1727273249546,459,https://blazedemo.com/,200,OK,Thread Group 1-4,text,true,,4757,836,11,11,https://blazedemo.com/,455,0,117
1727273248544,459,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,4757,836,11,11,null,455,1005,117
1727273249150,919,https://blazedemo.com/,200,OK,Thread Group 1-2,text,true,,4757,836,11,11,https://blazedemo.com/,868,0,458
1727273248147,919,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,4757,836,11,11,null,868,1004,458
1727273249347,1302,https://blazedemo.com/,200,OK,Thread Group 1-3,text,true,,4757,836,14,14,https://blazedemo.com/,1298,0,293
1727273248345,1302,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,4757,836,14,14,null,1298,1003,293
1727273249747,904,https://blazedemo.com/,200,OK,Thread Group 1-5,text,true,,4757,836,14,14,https://blazedemo.com/,903,0,117
1727273248742,904,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,4757,836,14,14,null,903,1005,117
1727273249953,1089,https://blazedemo.com/,200,OK,Thread Group 1-6,text,true,,4757,836,16,16,https://blazedemo.com/,1027,0,259
1727273248942,1089,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4757,836,16,16,null,1027,1012,259
1727273250540,718,https://blazedemo.com/,200,OK,Thread Group 1-9,text,true,,4757,836,17,17,https://blazedemo.com/,715,0,135
1727273249538,718,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,4757,836,17,17,null,715,1002,135
1727273251141,313,https://blazedemo.com/,429,Too Many Requests,Thread Group 1-12,text,false,,212,836,18,18,https://blazedemo.com/,313,0,117
1727273250138,313,Visit_Webs,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-12,,false,,212,836,18,18,null,313,1004,117
1727273250982,597,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-1,text,true,,7333,952,19,19,https://blazedemo.com/reserve.php,580,0,0
1727273249981,597,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,7333,952,19,19,null,580,1001,0
1727273251009,701,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-4,text,true,,7333,952,19,19,https://blazedemo.com/reserve.php,697,0,0
1727273250009,701,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,7333,952,19,19,null,697,1000,0
1727273251070,648,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-2,text,true,,7333,952,19,19,https://blazedemo.com/reserve.php,584,0,0
1727273250955,763,https://blazedemo.com/,200,OK,Thread Group 1-11,text,true,,4757,836,19,19,https://blazedemo.com/,757,0,112
1727273250070,648,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,7333,952,19,19,null,584,1000,0
1727273249940,763,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-11,,true,,4757,836,19,19,null,757,1015,112
1727273250141,1643,https://blazedemo.com/,200,OK,Thread Group 1-7,text,true,,4757,836,20,20,https://blazedemo.com/,1031,0,114
1727273249140,1643,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,4757,836,20,20,null,1031,1001,114
1727273251341,868,https://blazedemo.com/,200,OK,Thread Group 1-13,text,true,,4757,836,22,22,https://blazedemo.com/,805,0,115
1727273250338,868,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,4757,836,22,22,null,805,1003,115
1727273251652,791,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-3,text,true,,7333,952,23,23,https://blazedemo.com/reserve.php,783,0,0
1727273250650,791,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,7333,952,23,23,null,783,1002,0
1727273250340,2318,https://blazedemo.com/,200,OK,Thread Group 1-8,text,true,,4757,836,24,24,https://blazedemo.com/,2315,0,116
1727273249338,2318,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,4757,836,24,24,null,2315,1002,116
1727273252141,1090,https://blazedemo.com/,200,OK,Thread Group 1-17,text,true,,4757,836,27,27,https://blazedemo.com/,1089,0,116
1727273251139,1090,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-17,,true,,4757,836,27,27,null,1089,1003,116
1727273252340,1017,https://blazedemo.com/,200,OK,Thread Group 1-18,text,true,,4757,836,28,28,https://blazedemo.com/,1014,0,121
1727273251338,1017,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,true,,4757,836,28,28,null,1014,1003,121
1727273250741,2810,https://blazedemo.com/,200,OK,Thread Group 1-10,text,true,,4757,836,29,29,https://blazedemo.com/,2808,0,129
1727273249740,2810,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,4757,836,29,29,null,2808,1002,129
1727273253211,513,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-4,text,true,,6715,999,29,29,https://blazedemo.com/purchase.php,497,0,0
1727273251710,513,Choose_Flight & Purchase,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,6715,999,29,29,null,497,1501,0
1727273252740,993,https://blazedemo.com/,200,OK,Thread Group 1-20,text,true,,4757,836,29,29,https://blazedemo.com/,902,0,116
1727273251738,993,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-20,,true,,4757,836,29,29,null,902,1003,116
1727273252785,998,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-7,text,true,,7333,952,30,30,https://blazedemo.com/reserve.php,985,0,0
1727273251784,998,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,7333,952,30,30,null,985,1001,0
1727273253081,833,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-1,text,true,,6715,999,30,30,https://blazedemo.com/purchase.php,762,0,0
1727273251579,833,Choose_Flight & Purchase,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,6715,999,30,30,null,762,1502,0
1727273251539,2400,https://blazedemo.com/,200,OK,Thread Group 1-14,text,true,,4757,836,31,31,https://blazedemo.com/,2340,0,112
1727273250538,2400,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,4757,836,31,31,null,2340,1001,112
1727273252045,1978,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-6,text,true,,7333,952,31,31,https://blazedemo.com/reserve.php,1962,0,0
1727273251043,1978,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,7333,952,31,31,null,1962,1003,0
1727273252259,1799,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-9,text,true,,7333,952,31,31,https://blazedemo.com/reserve.php,1783,0,0
1727273251258,1799,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,7333,952,31,31,null,1783,1001,0
1727273253944,297,https://blazedemo.com/purchase.php,200,OK,Thread Group 1-3,text,true,,6715,999,32,32,https://blazedemo.com/purchase.php,291,0,0
1727273252443,297,Choose_Flight & Purchase,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,6715,999,32,32,null,291,1501,0
1727273253741,547,https://blazedemo.com/,200,OK,Thread Group 1-25,text,true,,4757,836,32,32,https://blazedemo.com/,545,0,113
1727273252738,547,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-25,,true,,4757,836,32,32,null,545,1003,113
1727273251943,2396,https://blazedemo.com/,200,OK,Thread Group 1-16,text,true,,4757,836,33,33,https://blazedemo.com/,2389,0,120
1727273250938,2396,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-16,,true,,4757,836,33,33,null,2389,1005,120
1727273254233,329,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-17,text,true,,7333,952,34,34,https://blazedemo.com/reserve.php,281,0,0
1727273253232,329,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-17,,true,,7333,952,34,34,null,281,1001,0
1727273253140,1480,https://blazedemo.com/,200,OK,Thread Group 1-22,text,true,,4757,836,34,34,https://blazedemo.com/,1474,0,114
1727273252138,1480,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-22,,true,,4757,836,34,34,null,1474,1002,114
1727273253947,679,https://blazedemo.com/,200,OK,Thread Group 1-26,text,true,,4757,836,34,34,https://blazedemo.com/,571,0,191
1727273252938,679,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-26,,true,,4757,836,34,34,null,571,1010,191
1727273251653,3181,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-5,text,true,,7333,952,35,35,https://blazedemo.com/reserve.php,2980,0,0
1727273250651,3181,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,7333,952,35,35,null,2980,1002,0
1727273253339,1519,https://blazedemo.com/,200,OK,Thread Group 1-23,text,true,,4757,836,35,35,https://blazedemo.com/,1326,0,114
1727273252337,1519,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-23,,true,,4757,836,35,35,null,1326,1002,114
1727273253540,1328,https://blazedemo.com/,200,OK,Thread Group 1-24,text,true,,4757,836,35,35,https://blazedemo.com/,1327,0,115
1727273252537,1328,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-24,,true,,4757,836,35,35,null,1327,1003,115
1727273254359,602,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-18,text,true,,7333,952,36,36,https://blazedemo.com/reserve.php,591,0,0
1727273253358,602,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,true,,7333,952,36,36,null,591,1001,0
1727273251741,3448,https://blazedemo.com/,200,OK,Thread Group 1-15,text,true,,4757,836,37,37,https://blazedemo.com/,3443,0,497
1727273250739,3448,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,4757,836,37,37,null,3443,1003,497
1727273252456,3008,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-12,text,true,,7333,952,38,38,https://blazedemo.com/reserve.php,3007,0,0
1727273251455,3008,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,7333,952,38,38,null,3007,1001,0
1727273254539,957,https://blazedemo.com/,200,OK,Thread Group 1-29,text,true,,4757,836,38,38,https://blazedemo.com/,957,0,114
1727273253538,957,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-29,,true,,4757,836,38,38,null,957,1002,114
1727273254154,1351,https://blazedemo.com/,200,OK,Thread Group 1-27,text,true,,4757,836,38,38,https://blazedemo.com/,1348,0,115
1727273253150,1351,Visit_Webs,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-27,,true,,4757,836,38,38,null,1348,1004,115
1727273254553,1016,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-10,text,true,,7333,952,39,39,https://blazedemo.com/reserve.php,1000,0,0
1727273253552,1016,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,7333,952,39,39,null,1000,1001,0
1727273254940,650,https://blazedemo.com/reserve.php,200,OK,Thread Group 1-14,text,true,,7333,952,39,39,https://blazedemo.com/reserve.php,643,0,0
1727273253939,650,Search_Fligh & Reserve,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,7333,952,39,39,null,643,1001,0
